Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Dan Marino,31,MIA,QB,16,16,11-5-0,330,554,59.6,4116,24,4.3,16,2.9,62,7.4,7.00,12.5,257.3,85.1,28,173,4.81,6.77,6.36,6,6,PB,MariDa00
2,Steve Young,31,SFO,QB,16,16,14-2-0,268,402,66.7,3465,25,6.2,7,1.7,80,8.6,9.08,12.9,216.6,107.0,29,152,6.73,7.69,8.12,3,5,PBAP-1AP MVP-1AP OPoY-1,YounSt00
3,Jim Kelly,32,BUF,QB,16,16,11-5-0,269,462,58.2,3457,23,5.0,19,4.1,65,7.5,6.63,12.9,216.1,81.2,20,145,4.15,6.87,6.05,3,3,PBAP-2AP OPoY-6,KellJi00
4,Troy Aikman,26,DAL,QB,16,16,13-3-0,302,473,63.8,3445,23,4.9,14,3.0,87,7.3,6.92,11.4,215.3,89.5,23,112,4.64,6.72,6.38,1,1,PB,AikmTr00
5,Stan Humphries,27,SDG,QB,16,15,11-4-0,263,454,57.9,3356,16,3.5,18,4.0,67,7.4,6.31,12.8,209.8,76.4,28,218,5.81,6.51,5.49,2,2,,HumpSt00
6,Jim Everett,29,RAM,QB,16,16,6-10-0,281,475,59.2,3323,22,4.6,18,3.8,67,7.0,6.22,11.8,207.7,80.2,26,204,5.19,6.23,5.49,3,3,,EverJi00
7,Bobby Hebert,32,NOR,QB,16,16,12-4-0,249,422,59.0,3287,19,4.5,16,3.8,72,7.8,6.98,13.2,205.4,82.9,15,119,3.43,7.25,6.47,2,4,,HebeBo00
8,Mark Rypien,30,WAS,QB,16,16,9-7-0,269,479,56.2,3282,13,2.7,17,3.5,62,6.9,5.80,12.2,205.1,71.7,23,176,4.58,6.19,5.18,1,1,,RypiMa00
9,Brett Favre,23,GNB,QB,15,13,8-5-0,302,471,64.1,3227,18,3.8,13,2.8,76,6.9,6.37,10.7,215.1,85.3,34,208,6.73,5.98,5.53,3,3,PB,FavrBr00
10,Dave Krieg,34,KAN,QB,16,16,10-6-0,230,413,55.7,3115,15,3.6,12,2.9,77,7.5,6.96,13.5,194.7,79.9,48,323,10.41,6.06,5.54,1,1,,KrieDa00
11,Chris Chandler,27,PHO,QB,15,13,4-9-0,245,413,59.3,2832,15,3.6,15,3.6,72,6.9,5.95,11.6,188.8,77.1,29,226,6.56,5.90,5.05,2,2,,ChanCh00
12,Randall Cunningham,29,PHI,QB,15,15,10-5-0,233,384,60.7,2775,19,4.9,11,2.9,75,7.2,6.93,11.9,185.0,87.3,60,437,13.51,5.27,5.01,1,1,AP-2,CunnRa00
13,Vinny Testaverde,29,TAM,QB,14,14,5-9-0,206,358,57.5,2554,14,3.9,16,4.5,81,7.1,5.91,12.4,182.4,74.2,35,259,8.91,5.84,4.72,1,1,,TestVi00
14,Warren Moon,36,HOU,QB,11,10,6-4-0,224,346,64.7,2521,18,5.2,12,3.5,72,7.3,6.77,11.3,229.2,89.3,16,105,4.42,6.67,6.18,2,2,PB,MoonWa00
15,Jim Harbaugh,29,CHI,QB,16,13,5-8-0,202,358,56.4,2486,13,3.6,12,3.4,83,6.9,6.16,12.3,155.4,76.2,31,167,7.97,5.96,5.24,1,1,,HarbJi00
16,Neil O'Donnell,26,PIT,QB,12,12,9-3-0,185,313,59.1,2283,13,4.2,9,2.9,51,7.3,6.83,12.3,190.3,83.6,27,208,7.94,6.10,5.68,2,3,PB,ODonNe00
17,Browning Nagle,24,NYJ,QB,14,13,3-10-0,192,387,49.6,2280,7,1.8,17,4.4,51,5.9,4.28,11.9,162.9,55.7,27,215,6.52,4.99,3.48,0,0,,NaglBr00
18,John Elway,32,DEN,QB,12,12,8-4-0,174,316,55.1,2242,10,3.2,17,5.4,80,7.1,5.31,12.9,186.8,65.7,36,272,10.23,5.60,3.99,3,3,,ElwaJo00
19,Jeff George,25,IND,QB,10,10,6-4-0,167,306,54.6,1963,7,2.3,15,4.9,57,6.4,4.67,11.8,196.3,61.5,27,188,8.11,5.33,3.72,1,3,,GeorJe00
20,Rich Gannon,27,MIN,QB,12,12,8-4-0,159,279,57.0,1905,12,4.3,13,4.7,60,6.8,5.59,12.0,158.8,72.9,25,177,8.22,5.68,4.55,2,2,,GannRi00
21,Chris Miller,27,ATL,QB,8,8,3-5-0,152,253,60.1,1739,15,5.9,6,2.4,89,6.9,6.99,11.4,217.4,90.7,16,103,5.95,6.08,6.19,0,0,,MillCh00
22,Cody Carlson,29,HOU,QB,11,6,4-2-0,149,227,65.6,1710,9,4.0,11,4.8,65,7.5,6.15,11.5,155.5,81.2,15,90,6.20,6.69,5.39,3,3,,CarlCo00
23,Rodney Peete,26,DET,QB,10,10,2-8-0,123,213,57.7,1702,9,4.2,9,4.2,78,8.0,6.93,13.8,170.2,80.0,28,170,11.62,6.36,5.42,0,0,,PeetRo00
24,Mike Tomczak,30,CLE,QB,12,8,4-4-0,120,211,56.9,1693,7,3.3,7,3.3,52,8.0,7.19,14.1,141.1,80.1,12,85,5.38,7.21,6.43,1,1,,TomcMi00
25,Jay Schroeder,31,RAI,QB,13,9,4-5-0,123,253,48.6,1476,11,4.3,11,4.3,53,5.8,4.75,12.0,113.5,63.3,25,180,8.99,4.66,3.67,0,0,,SchrJa00
26,Boomer Esiason,31,CIN,QB,12,11,4-7-0,144,278,51.8,1407,11,4.0,15,5.4,38,5.1,3.42,9.8,117.3,57.0,19,150,6.40,4.23,2.70,1,2,,EsiaBo00
27,Wade Wilson,33,ATL,QB,9,3,1-2-0,111,163,68.1,1366,13,8.0,4,2.5,60,8.4,8.87,12.3,151.8,110.1,8,58,4.68,7.65,8.12,0,1,,WilsWa00
28,Stan Gelbaugh,30,SEA,QB,10,8,0-8-0,121,255,47.5,1307,6,2.4,11,4.3,57,5.1,3.65,10.8,130.7,52.9,34,265,11.76,3.61,2.31,1,1,,GelbSt00
29,Jack Trudeau,30,IND,QB,11,5,2-3-0,105,181,58.0,1271,4,2.2,8,4.4,81,7.0,5.48,12.1,115.5,68.6,11,85,5.73,6.18,4.72,3,3,,TrudJa00
30,Jeff Hostetler,31,NYG,QB,13,9,5-4-0,103,192,53.6,1225,8,4.2,3,1.6,46,6.4,6.51,11.9,94.2,80.8,24,148,11.11,4.99,5.10,0,0,,HostJe00
31,Hugh Millen,29,NWE,QB,7,7,0-7-0,124,203,61.1,1203,8,3.9,10,4.9,39,5.9,4.50,9.7,171.9,70.3,33,204,13.98,4.23,3.00,0,0,,MillHu00
32,Sean Salisbury,29,MIN,QB,10,4,3-1-0,97,175,55.4,1203,5,2.9,2,1.1,51,6.9,6.93,12.4,120.3,81.7,15,116,7.89,5.72,5.77,1,1,,SaliSe00
33,Bernie Kosar,29,CLE,QB,7,7,2-5-0,103,155,66.5,1160,8,5.2,7,4.5,69,7.5,6.48,11.3,165.7,87.0,21,126,11.93,5.88,4.99,0,0,,KosaBe00
34,Todd Marinovich,23,RAI,QB,7,7,3-4-0,81,165,49.1,1102,5,3.0,9,5.5,68,6.7,4.83,13.6,157.4,58.2,20,154,10.81,5.12,3.48,0,1,,MariTo00
35,Phil Simms,37,NYG,QB,4,4,1-3-0,83,137,60.6,912,5,3.6,3,2.2,38,6.7,6.40,11.0,228.0,83.3,10,67,6.80,5.75,5.51,0,0,,SimmPh00
36,Kelly Stouffer,28,SEA,QB,9,7,2-5-0,92,190,48.4,900,3,1.6,9,4.7,33,4.7,2.92,9.8,100.0,47.7,26,222,12.04,3.14,1.54,0,0,,StouKe00
37,Billy Joe Tolliver,26,ATL,QB,9,5,2-3-0,73,131,55.7,787,5,3.8,5,3.8,30,6.0,5.05,10.8,87.4,70.4,16,98,10.88,4.69,3.84,1,1,,TollBi00
38,Erik Kramer,28,DET,QB,7,3,1-2-0,58,106,54.7,771,4,3.8,8,7.5,77,7.3,4.63,13.3,110.1,59.1,15,80,12.40,5.71,3.40,0,0,,KramEr00
39,Tommy Maddox,21,DEN,QB,13,4,0-4-0,66,121,54.5,757,5,4.1,9,7.4,38,6.3,3.74,11.5,58.2,56.4,10,60,7.63,5.32,2.99,0,0,,MaddTo00
40,Bubby Brister,30,PIT,QB,6,4,2-2-0,63,116,54.3,719,2,1.7,5,4.3,42,6.2,4.60,11.4,119.8,61.0,13,88,10.08,4.89,3.46,2,2,,BrisBu00
41,Peter Tom Willis,25,CHI,QB,9,2,0-2-0,54,92,58.7,716,4,4.3,8,8.7,68,7.8,4.74,13.3,79.6,61.7,10,58,9.80,6.45,3.71,0,0,,WillPe00
42,Steve DeBerg,38,TAM,QB,6,2,0-2-0,76,125,60.8,710,3,2.4,4,3.2,28,5.7,4.72,9.3,118.3,71.1,8,66,6.02,4.84,3.94,0,0,,DebeSt00
43,Andre Ware,24,DET,QB,4,3,2-1-0,50,86,58.1,677,3,3.5,4,4.7,59,7.9,6.48,13.5,169.3,75.6,16,104,15.69,5.62,4.44,0,0,,WareAn00
44,Ken O'Brien,32,NYJ,QB,10,3,1-2-0,55,98,56.1,642,5,5.1,6,6.1,55,6.6,4.82,11.7,64.2,67.6,10,61,9.26,5.38,3.81,0,0,,OBriKe00
45,Scott Zolak,25,NWE,QB,6,4,2-2-0,52,100,52.0,561,2,2.0,4,4.0,65,5.6,4.21,10.8,93.5,58.8,17,137,14.53,3.62,2.43,1,1,,ZolaSc00
46,David Klingler,23,CIN,QB,4,4,1-3-0,47,98,48.0,530,3,3.1,2,2.0,83,5.4,5.10,11.3,132.5,66.3,18,146,15.52,3.31,3.05,0,0,AP ORoY-5,KlinDa00
47,Tom Hodson,25,NWE,QB,9,3,0-3-0,50,91,54.9,496,2,2.2,2,2.2,54,5.5,4.90,9.9,55.1,68.7,12,96,11.65,3.88,3.40,0,0,,HodsTo00
48,Timm Rosenbach,26,PHO,QB,8,3,0-3-0,49,92,53.3,483,0,0.0,6,6.5,45,5.3,2.32,9.9,60.4,41.2,7,32,7.07,4.56,1.83,0,0,,RoseTi00
49,Kent Graham,24,NYG,QB,6,3,0-3-0,42,97,43.3,470,1,1.0,4,4.1,44,4.8,3.20,11.2,78.3,44.6,7,49,6.73,4.05,2.51,0,0,,GrahKe00
50,Steve Bono,30,SFO,QB,16,0,,36,56,64.3,463,2,3.6,2,3.6,36,8.3,7.38,12.9,28.9,87.1,2,14,3.45,7.74,6.88,0,0,,BonoSt00
51,Vince Evans,37,RAI,QB,5,0,,29,53,54.7,372,4,7.5,3,5.7,50,7.0,5.98,12.8,74.4,78.5,3,26,5.36,6.18,5.20,1,1,,EvanVi00
52,Donald Hollas,25,CIN,QB,10,1,0-1-0,35,58,60.3,335,2,3.4,0,0.0,24,5.8,6.47,9.6,33.5,87.9,8,45,12.12,4.39,5.00,1,0,,HollDo00
53,Jim McMahon,33,PHI,QB,4,1,1-0-0,22,43,51.2,279,1,2.3,2,4.7,42,6.5,4.86,12.7,69.8,60.1,4,25,8.51,5.40,3.91,0,0,,McMaJi00
54,Don Majkowski,28,GNB,QB,14,3,1-2-0,38,55,69.1,271,2,3.6,2,3.6,32,4.9,4.02,7.1,19.4,77.2,9,60,14.06,3.30,2.52,0,0,,MajkDo00
55,Bob Gagliano,34,SDG,QB,5,1,0-1-0,19,42,45.2,258,0,0.0,3,7.1,55,6.1,2.93,13.6,51.6,35.6,5,50,10.64,4.43,1.55,1,1,,GaglBo00
56,Jeff Carlson,26,NWE,QB,3,2,0-2-0,18,49,36.7,232,1,2.0,3,6.1,40,4.7,2.39,12.9,77.3,33.7,3,21,5.77,4.06,1.85,0,0,,CarlJe00
57,Shawn Moore,24,DEN,QB,3,0,,17,34,50.0,232,0,0.0,3,8.8,40,6.8,2.85,13.6,77.3,35.4,6,50,15.00,4.55,1.18,0,0,,MoorSh00
58,Frank Reich,31,BUF,QB,16,0,,24,47,51.1,221,0,0.0,2,4.3,21,4.7,2.79,9.2,13.8,46.5,9,76,16.07,2.59,0.98,0,0,,ReicFr00
59,Todd Philcox,26,CLE,QB,2,1,1-0-0,13,27,48.1,217,3,11.1,1,3.7,69,8.0,8.59,16.7,108.5,97.3,1,6,3.57,7.54,8.07,0,0,,PhilTo00
60,Mark Herrmann,33,IND,QB,1,1,1-0-0,15,24,62.5,177,1,4.2,1,4.2,27,7.4,6.33,11.8,177.0,81.4,1,5,4.00,6.88,5.88,0,0,,HerrMa00
61,Tom Tupa,26,IND,QB,3,0,,17,33,51.5,156,1,3.0,2,6.1,19,4.7,2.61,9.2,52.0,49.6,5,40,13.16,3.05,1.21,0,0,,TupaTo20
62,Steve Beuerlein,27,DAL,QB,16,0,,12,18,66.7,152,0,0.0,1,5.6,27,8.4,5.94,12.7,9.5,69.7,0,0,0.00,8.44,5.94,0,0,,BeueSt00
63,Joe Montana,36,SFO,QB,1,0,,15,21,71.4,126,2,9.5,0,0.0,17,6.0,7.90,8.4,126.0,118.4,1,8,4.55,5.36,7.18,0,0,,MontJo01
64,Craig Erickson,23,TAM,QB,6,0,,15,26,57.7,121,0,0.0,0,0.0,24,4.7,4.65,8.1,20.2,69.6,2,9,7.14,4.00,4.00,0,0,,EricCr00
65,Dan McGwire,25,SEA,QB,2,1,0-1-0,17,30,56.7,116,0,0.0,3,10.0,20,3.9,-0.63,6.8,58.0,25.8,7,58,18.92,1.57,-2.08,0,0,,McGwDa00
66,Mike Pagel,32,RAM,QB,16,0,,8,20,40.0,99,1,5.0,2,10.0,22,5.0,1.45,12.4,6.2,33.1,0,0,0.00,4.95,1.45,0,0,,PageMi00
67,Will Furrer,24,CHI,QB,2,1,0-1-0,9,25,36.0,89,0,0.0,3,12.0,16,3.6,-1.84,9.9,44.5,7.3,4,39,13.79,1.72,-2.93,0,0,,FurrWi00
68,Arthur Marshall,23,DEN,WR,16,1,,1,1,100.0,81,1,100.0,0,0.0,81,81.0,101.00,81.0,5.1,158.3,0,0,0.00,81.00,101.00,0,0,,MarsAr00
69,Mark Royals,27,PIT,P,16,0,,1,1,100.0,44,0,0.0,0,0.0,44,44.0,44.00,44.0,2.8,118.7,0,0,0.00,44.00,44.00,0,0,,RoyaMa20
70,Chris Gardocki,22,CHI,P,16,0,,1,3,33.3,43,0,0.0,0,0.0,43,14.3,14.33,43.0,2.7,81.9,0,0,0.00,14.33,14.33,0,0,,GardCh20
71,Earnest Byner,30,WAS,RB,16,16,,1,3,33.3,41,1,33.3,0,0.0,41,13.7,20.33,41.0,2.6,121.5,0,0,0.00,13.67,20.33,0,0,,ByneEa00
72,Jeff Blake,22,NYJ,QB,3,0,,4,9,44.4,40,0,0.0,1,11.1,19,4.4,-0.56,10.0,13.3,18.1,2,7,18.18,3.00,-1.09,0,0,,BlakJe00
73,Keith Henderson,26,MIN,RB,13,0,,1,1,100.0,36,1,100.0,0,0.0,36,36.0,56.00,36.0,2.8,158.3,0,0,0.00,36.00,56.00,0,0,,HendKe00
74,Brad Goebel,25,CLE,QB,1,0,,2,3,66.7,32,0,0.0,0,0.0,22,10.7,10.67,16.0,32.0,102.1,0,0,0.00,10.67,10.67,0,0,,GoebBr00
75,Scott Mitchell,24,MIA,QB,16,0,,2,8,25.0,32,0,0.0,1,12.5,18,4.0,-1.63,16.0,2.0,4.2,0,0,0.00,4.00,-1.63,0,0,,MitcSc00
76,Tony Sacca,22,PHO,QB,2,0,,4,11,36.4,29,0,0.0,2,18.2,16,2.6,-5.55,7.3,14.5,5.3,0,0,0.00,2.64,-5.55,0,0,,SaccTo00
77,Dave Brown,22,NYG,QB,2,0,,4,7,57.1,21,0,0.0,0,0.0,8,3.0,3.00,5.3,10.5,62.2,4,19,36.36,0.18,0.18,0,0,,BrowDa00
78,Hassan Jones,28,MIN,WR,9,5,,1,1,100.0,18,0,0.0,0,0.0,18,18.0,18.00,18.0,2.0,118.7,0,0,0.00,18.00,18.00,0,0,,JoneHa00
79,Rohn Stark,33,IND,P,16,0,,1,1,100.0,17,0,0.0,0,0.0,17,17.0,17.00,17.0,1.1,118.7,0,0,0.00,17.00,17.00,0,0,PBAP-2,StarRo20
80,Cary Conklin,24,WAS,QB,1,0,,2,2,100.0,16,1,50.0,0,0.0,10,8.0,18.00,8.0,16.0,139.6,0,0,0.00,8.00,18.00,0,0,,ConkCa00
81,Dan Stryzinski,27,TAM,P,16,0,,2,2,100.0,14,0,0.0,0,0.0,12,7.0,7.00,7.0,0.9,95.8,0,0,0.00,7.00,7.00,0,0,,StryDa20
82,Jim Breech,36,CIN,K,16,0,,1,1,100.0,12,0,0.0,0,0.0,12,12.0,12.00,12.0,0.8,116.7,0,0,0.00,12.00,12.00,0,0,,breecjim01
83,Mike Buck,25,NOR,QB,2,0,,2,4,50.0,10,0,0.0,0,0.0,10,2.5,2.50,5.0,5.0,56.2,0,0,0.00,2.50,2.50,0,0,,BuckMi00
84,Keith Byars,29,PHI,TE/FB,15,15,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ByarKe00
85,Rob Carpenter,24,NYJ,WR,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,CarpRo00
86,Anthony Carter,32,MIN,WR,16,14,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,CartAn00
87,Barry Foster,24,PIT,RB,16,15,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PBAP-1AP MVP-2AP OPoY-2,FostBa00
88,Anthony Johnson,25,IND,RB,15,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,JohnAn00
89,Keith Jones,26,ATL,RB,16,8,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,JoneKe01
90,Greg Lewis,23,DEN,RB,16,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,LewiGr00
91,Tony Martin,27,MIA,WR,16,3,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,MartTo00
92,Paul McJulien,27,GNB,P,9,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,McJuPa20
93,Greg McMurtry,25,NWE,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,McMuGr00
94,Eric Metcalf,24,CLE,RB,16,5,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,MetcEr00
95,Brian Mitchell,24,WAS,RB,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,MitcBr00
96,Brad Muster,27,CHI,FB,16,16,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,MustBr00
97,Harry Newsome,29,MIN,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,NewsHa20
98,Ricky Proehl,24,PHO,WR,16,15,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,ProeRi00
99,Bucky Richardson,23,HOU,QB,7,0,,0,0,,0,0,,0,,,,,,0.0,,1,7,100.00,-7.00,-7.00,0,0,,RichBu00
100,Barry Sanders,24,DET,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PBAP-2,SandBa00
101,Matt Stover,24,CLE,K,16,0,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,stovemat01
102,Rick Tuten,27,SEA,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,TuteRi20
103,Herschel Walker,30,PHI,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,WalkHe00
104,Ricky Watters,23,SFO,RB,14,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PBAP OPoY-6,WattRi00
,League Average,,,,,,,,,57.5,,,3.8,,3.9,,6.9,5.89,11.9,80.6,75.3,,,7.84,5.78,4.88,,,,-9999
